trip_id,stop_id,arrival_time,stop_seq,notes
BREEZE_AEON_ICE_07_1230,GOP_1,12:40,6,
BREEZE_AEON_ICE_07_1230,CBD_BARAT_1,12:42,7,
BREEZE_AEON_ICE_07_1230,AEON_MALL_2,12:44,8,
BREEZE_AEON_ICE_07_1230,AEON_MALL_1,12:46,9,
BREEZE_AEON_ICE_07_1230,AEON_MALL_LOBBY,12:48,10,
BREEZE_AEON_ICE_07_1230,ICE_1,12:50,11,
BREEZE_AEON_ICE_07_1230,ICE_2,12:52,12,
BREEZE_AEON_ICE_08_1330,THE_BREEZE,13:30,1,
BREEZE_AEON_ICE_08_1330,NAVAPARK_1,13:32,2,
BREEZE_AEON_ICE_08_1330,CBD_TIMUR_2,13:34,3,
BREEZE_AEON_ICE_08_1330,CBD_TIMUR_1,13:36,4,
BREEZE_AEON_ICE_08_1330,SML_PLAZA,13:38,5,
BREEZE_AEON_ICE_08_1330,GOP_1,13:40,6,
BREEZE_AEON_ICE_08_1330,CBD_BARAT_1,13:42,7,
BREEZE_AEON_ICE_08_1330,AEON_MALL_2,13:44,8,
BREEZE_AEON_ICE_08_1330,AEON_MALL_1,13:46,9,
BREEZE_AEON_ICE_08_1330,AEON_MALL_LOBBY,13:48,10,
BREEZE_AEON_ICE_08_1330,ICE_1,13:50,11,
BREEZE_AEON_ICE_08_1330,ICE_2,13:52,12,
BREEZE_AEON_ICE_09_1430,THE_BREEZE,14:30,1,
BREEZE_AEON_ICE_09_1430,NAVAPARK_1,14:32,2,
BREEZE_AEON_ICE_09_1430,CBD_TIMUR_2,14:34,3,
BREEZE_AEON_ICE_09_1430,CBD_TIMUR_1,14:36,4,
BREEZE_AEON_ICE_09_1430,SML_PLAZA,14:38,5,
BREEZE_AEON_ICE_09_1430,GOP_1,14:40,6,
BREEZE_AEON_ICE_09_1430,CBD_BARAT_1,14:42,7,
BREEZE_AEON_ICE_09_1430,AEON_MALL_2,14:44,8,
BREEZE_AEON_ICE_09_1430,AEON_MALL_1,14:46,9,
BREEZE_AEON_ICE_09_1430,AEON_MALL_LOBBY,14:48,10,
BREEZE_AEON_ICE_09_1430,ICE_1,14:50,11,
BREEZE_AEON_ICE_09_1430,ICE_2,14:52,12,
BREEZE_AEON_ICE_10_1530,THE_BREEZE,15:30,1,
BREEZE_AEON_ICE_10_1530,NAVAPARK_1,15:32,2,
BREEZE_AEON_ICE_10_1530,CBD_TIMUR_2,15:34,3,
BREEZE_AEON_ICE_10_1530,CBD_TIMUR_1,15:36,4,
BREEZE_AEON_ICE_10_1530,SML_PLAZA,15:38,5,
BREEZE_AEON_ICE_10_1530,GOP_1,15:40,6,
BREEZE_AEON_ICE_10_1530,CBD_BARAT_1,15:42,7,
BREEZE_AEON_ICE_10_1530,AEON_MALL_2,15:44,8,
BREEZE_AEON_ICE_10_1530,AEON_MALL_1,15:46,9,
BREEZE_AEON_ICE_10_1530,AEON_MALL_LOBBY,15:48,10,
BREEZE_AEON_ICE_10_1530,ICE_1,15:50,11,
BREEZE_AEON_ICE_10_1530,ICE_2,15:52,12,
BREEZE_AEON_ICE_11_1630,THE_BREEZE,16:30,1,
BREEZE_AEON_ICE_11_1630,NAVAPARK_1,16:32,2,
BREEZE_AEON_ICE_11_1630,CBD_TIMUR_2,16:34,3,
BREEZE_AEON_ICE_11_1630,CBD_TIMUR_1,16:36,4,
BREEZE_AEON_ICE_11_1630,SML_PLAZA,16:38,5,
BREEZE_AEON_ICE_11_1630,GOP_1,16:40,6,
BREEZE_AEON_ICE_11_1630,CBD_BARAT_1,16:42,7,
BREEZE_AEON_ICE_11_1630,AEON_MALL_2,16:44,8,
BREEZE_AEON_ICE_11_1630,AEON_MALL_1,16:46,9,
BREEZE_AEON_ICE_11_1630,AEON_MALL_LOBBY,16:48,10,
BREEZE_AEON_ICE_11_1630,ICE_1,16:50,11,
BREEZE_AEON_ICE_11_1630,ICE_2,16:52,12,
BREEZE_AEON_ICE_12_1730,THE_BREEZE,17:30,1,
BREEZE_AEON_ICE_12_1730,NAVAPARK_1,17:32,2,
BREEZE_AEON_ICE_12_1730,CBD_TIMUR_2,17:34,3,
BREEZE_AEON_ICE_12_1730,CBD_TIMUR_1,17:36,4,
BREEZE_AEON_ICE_12_1730,SML_PLAZA,17:38,5,
BREEZE_AEON_ICE_12_1730,GOP_1,17:40,6,
BREEZE_AEON_ICE_12_1730,CBD_BARAT_1,17:42,7,
BREEZE_AEON_ICE_12_1730,AEON_MALL_2,17:44,8,
BREEZE_AEON_ICE_12_1730,AEON_MALL_1,17:46,9,
BREEZE_AEON_ICE_12_1730,AEON_MALL_LOBBY,17:48,10,
BREEZE_AEON_ICE_12_1730,ICE_1,17:50,11,
BREEZE_AEON_ICE_12_1730,ICE_2,17:52,12,
BREEZE_AEON_ICE_13_1830,THE_BREEZE,18:30,1,
BREEZE_AEON_ICE_13_1830,NAVAPARK_1,18:32,2,
BREEZE_AEON_ICE_13_1830,CBD_TIMUR_2,18:34,3,
BREEZE_AEON_ICE_13_1830,CBD_TIMUR_1,18:36,4,
BREEZE_AEON_ICE_13_1830,SML_PLAZA,18:38,5,
BREEZE_AEON_ICE_13_1830,GOP_1,18:40,6,
BREEZE_AEON_ICE_13_1830,CBD_BARAT_1,18:42,7,
BREEZE_AEON_ICE_13_1830,AEON_MALL_2,18:44,8,
BREEZE_AEON_ICE_13_1830,AEON_MALL_1,18:46,9,
BREEZE_AEON_ICE_13_1830,AEON_MALL_LOBBY,18:48,10,
BREEZE_AEON_ICE_13_1830,ICE_1,18:50,11,
BREEZE_AEON_ICE_13_1830,ICE_2,18:52,12,
BREEZE_AEON_ICE_14_1930,THE_BREEZE,19:30,1,
BREEZE_AEON_ICE_14_1930,NAVAPARK_1,19:32,2,
BREEZE_AEON_ICE_14_1930,CBD_TIMUR_2,19:34,3,
BREEZE_AEON_ICE_14_1930,CBD_TIMUR_1,19:36,4,
BREEZE_AEON_ICE_14_1930,SML_PLAZA,19:38,5,
BREEZE_AEON_ICE_14_1930,GOP_1,19:40,6,
BREEZE_AEON_ICE_14_1930,CBD_BARAT_1,19:42,7,
BREEZE_AEON_ICE_14_1930,AEON_MALL_2,19:44,8,
BREEZE_AEON_ICE_14_1930,AEON_MALL_1,19:46,9,
BREEZE_AEON_ICE_14_1930,AEON_MALL_LOBBY,19:48,10,
BREEZE_AEON_ICE_14_1930,ICE_1,19:50,11,
BREEZE_AEON_ICE_14_1930,ICE_2,19:52,12,
